"","year","group_name","team_id","country_name.x","country_code","matches_played","wins","draws","losses","goals_for","goals_against","goal_difference","points","rank","teams_qualifying","qualified","min_qualifier_points","max_non_qualifier_points","points_gap","tie_at_cutoff","treatment","points_diff","country_name.y","bicc_milper","bicc_milexp","bicc_gmi","wdi_expmil","wdi_pop","wdi_popurb","wdi_birth","wdi_death","wdi_mortinf","wdi_lifexp","wpp_medianage","wpp_sexratio","wdi_export","wdi_import","wdi_gdpcapcon2015","wdi_gdpgr","wdi_area","vdem_polyarchy","ht_colonial","atop_number","wdi_pop_log","v2paseatshare","milex","milex5yb","milex3yb","milex1yb","milex5ya","milex3ya","milex1ya","dmilex","dmilex5yb","dmilex3yb","dmilex1yb","dmilex5ya","dmilex3ya","dmilex1ya"
"17",1950,"Group 4","T-84","Uruguay","URY",1,1,0,0,8,0,8,3,1,1,1,3,0,3,FALSE,1,3,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.828,102.432,NA,NA,NA,NA,NA,0.78,2,2,NA,30.6333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1950,"Group 4","T-07","Bolivia","BOL",1,0,0,1,0,8,-8,0,2,1,0,3,0,3,FALSE,0,-3,"Bolivia (Plurinational State of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.554,97.194,NA,NA,NA,NA,NA,0.164,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1954,"Group 1","T-09","Brazil","BRA",2,1,1,0,6,1,5,4,1,1,1,4,4,0,TRUE,1,0,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.324,101.128,NA,NA,NA,NA,NA,0.378,7,2,NA,21.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1954,"Group 1","T-87","Yugoslavia","YUG",2,1,1,0,2,1,1,4,2,1,0,4,4,0,TRUE,0,0,"Yugoslavia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1954,"Group 2","T-36","Hungary","HUN",2,2,0,0,17,3,14,6,1,1,1,6,6,0,TRUE,1,0,"Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.738,93.418,NA,NA,NA,NA,NA,0.184,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1954,"Group 2","T-86","West Germany","DEU",3,2,0,1,14,11,3,6,2,1,0,6,6,0,TRUE,0,0,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.929,85.243,NA,NA,NA,NA,NA,0.835,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1954,"Group 3","T-84","Uruguay","URY",2,2,0,0,9,0,9,6,1,1,1,6,6,0,TRUE,1,0,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.279,101.479,NA,NA,NA,NA,NA,0.782,2,2,NA,30.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1954,"Group 3","T-05","Austria","AUT",2,2,0,0,6,0,6,6,2,1,0,6,6,0,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1954,"Group 4","T-75","Switzerland","CHE",3,2,0,1,6,4,2,6,1,1,1,6,4,2,FALSE,1,2,"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.919,93.403,NA,NA,NA,NA,NA,0.619,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1954,"Group 4","T-28","England","ENG",2,1,1,0,6,4,2,4,2,1,0,6,4,2,FALSE,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1958,"Group 1","T-52","Northern Ireland","NIR",4,2,1,1,6,6,0,7,1,1,1,7,5,2,FALSE,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1958,"Group 1","T-86","West Germany","DEU",3,1,2,0,7,5,2,5,2,1,0,7,5,2,FALSE,0,-2,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.855,86.35,NA,NA,NA,NA,NA,0.836,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1958,"Group 2","T-30","France","FRA",3,2,0,1,11,7,4,6,1,1,1,6,5,1,FALSE,1,1,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.712,94.062,NA,NA,NA,NA,NA,0.756,0,5,NA,16.6833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1958,"Group 2","T-87","Yugoslavia","YUG",3,1,2,0,7,6,1,5,2,1,0,6,5,1,FALSE,0,-1,"Yugoslavia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1958,"Group 3","T-74","Sweden","SWE",3,2,1,0,5,1,4,7,1,1,1,7,6,1,FALSE,1,1,"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.744,99.551,NA,NA,NA,NA,NA,0.772,0,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1958,"Group 3","T-85","Wales","WAL",4,1,3,0,4,3,1,6,2,1,0,7,6,1,FALSE,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47513526890496,NA,NA,NA,NA,NA,NA,NA,NA,NA
